"Exhibit 1. Global average absolute sea level change, 1880-2021"
"Data source: CSIRO, 2015; NOAA, 2022"
"For a description of this indicator and for technical documentation, visit EPA's Report on the Environment at www.epa.gov/roe."
"Units: inches"

"Year","Trend based on tide gauges","95% confidence interval","","Satellite measurements"
"2000","7.055118103","6.530393694","7.579842512","6.919122465"
"2001","7.271653536","6.754645662","7.788661409","7.116325549"
"2002","7.366141725","6.841417316","7.890866134","7.258223788"
"2003","7.728346449","7.195905504","8.260787393","7.410511627"
"2004","7.712598417","7.180157473","8.245039362","7.465565214"
"2005","7.716535425","7.191811016","8.241259834","7.566645782"
"2006","7.885826764","7.361102355","8.410551173","7.678404507"
"2007","7.960629913","7.412755898","8.508503928","7.674412818"
"2008","8.303149598","7.778425189","8.827874007","7.828383728"
"2009","8.531496054","7.99905511","9.063936999","7.973212968"
"2010","8.83464566","8.286771645","9.382519675","8.03087412"
"2011","8.897637786","8.318897629","9.476377943","7.966928207"
"2012","9.244094479","8.603622038","9.884566919","8.362109902"
"2013","8.913385818","8.226614165","9.600157471","8.453537927"
"2014","null","null","null","8.579036068"
"2015","null","null","null","8.92498423"
"2016","null","null","null","9.048398764"
"2017","null","null","null","9.11098598"
"2018","null","null","null","9.234520538"
"2019","null","null","null","9.480222637"
"2020","null","null","null","9.592476574"
"2021","null","null","null","9.797220121"
